voted_for,age_group,gender,education,race,religion
Trump,30-44,Male,4-year,White,Protestant
Biden,30-44,Female,Some college,White,Roman Catholic
Trump,30-44,Female,4-year,White,Protestant
Biden,45-65,Female,No HS,Black,Roman Catholic
Trump,18-29,Female,4-year,White,Roman Catholic
Trump,65+,Male,High school graduate,White,Other
Trump,65+,Female,4-year,White,Roman Catholic
Biden,18-29,Female,4-year,Hispanic,Protestant
Biden,65+,Male,High school graduate,White,Roman Catholic
Trump,65+,Female,4-year,White,Protestant
Biden,45-65,Male,4-year,White,None
Trump,65+,Female,4-year,White,Protestant
Biden,30-44,Female,4-year,Asian,Agnostic
Biden,30-44,Male,Some college,White,None
Biden,45-65,Female,4-year,White,Agnostic
Biden,30-44,Male,High school graduate,White,Roman Catholic
Biden,30-44,Male,4-year,White,Jewish
Biden,30-44,Female,4-year,Black,Other
Biden,45-65,Female,4-year,White,Agnostic
Trump,18-29,Female,4-year,White,Roman Catholic
Biden,18-29,Male,High school graduate,Native American,Other
Trump,30-44,Male,4-year,White,Protestant
Biden,65+,Female,4-year,White,Protestant
Biden,30-44,Female,2-year,White,Protestant
Biden,45-65,Female,4-year,White,Roman Catholic
Biden,65+,Female,4-year,White,Other
Biden,45-65,Female,2-year,White,Roman Catholic
Biden,45-65,Female,High school graduate,Black,Other
Trump,45-65,Female,Some college,Hispanic,Other
Biden,30-44,Female,2-year,Black,Protestant
Biden,45-65,Other,2-year,White,Agnostic
Trump,65+,Female,High school graduate,White,Roman Catholic
Biden,65+,Female,Post-grad,White,Protestant
Biden,45-65,Female,Post-grad,White,Atheist
Trump,30-44,Female,High school graduate,Multiracial,Other
Trump,45-65,Male,Post-grad,White,Protestant
Biden,45-65,Male,Post-grad,White,Atheist
Biden,45-65,Female,Some college,Black,Other
Biden,30-44,Male,Some college,White,None
Trump,45-65,Male,2-year,White,Protestant
Biden,45-65,Female,Some college,White,Protestant
Trump,18-29,Female,Some college,White,None
Biden,45-65,Male,4-year,White,Atheist
Biden,45-65,Male,2-year,Black,None
Biden,30-44,Male,High school graduate,White,None
Biden,45-65,Female,2-year,White,Jewish
Biden,45-65,Female,High school graduate,White,None
Biden,45-65,Male,4-year,White,Atheist
Trump,65+,Male,2-year,White,None
Trump,45-65,Male,4-year,White,Other
Biden,45-65,Female,2-year,White,Roman Catholic
Trump,65+,Male,4-year,White,Protestant
Trump,18-29,Male,4-year,White,Agnostic
Biden,30-44,Male,High school graduate,Native American,Other
Biden,30-44,Male,Post-grad,White,Other
Biden,30-44,Female,Post-grad,White,Roman Catholic
Trump,45-65,Male,Post-grad,Multiracial,Jewish
Trump,18-29,Female,Some college,White,Agnostic
Biden,30-44,Male,4-year,Hispanic,Atheist
Biden,45-65,Male,Some college,Multiracial,None
Biden,45-65,Female,Some college,White,Roman Catholic
Trump,65+,Male,4-year,White,Roman Catholic
Trump,65+,Male,4-year,White,Jewish
Trump,30-44,Female,Some college,White,Protestant
Biden,65+,Female,4-year,White,None
Biden,18-29,Female,Some college,White,None
Trump,45-65,Male,High school graduate,White,Roman Catholic
Biden,65+,Female,Post-grad,Multiracial,Agnostic
Trump,45-65,Male,Some college,White,Protestant
Trump,45-65,Female,High school graduate,White,Protestant
Trump,30-44,Male,4-year,White,Protestant
Trump,45-65,Male,4-year,White,Protestant
Biden,45-65,Male,Post-grad,White,Agnostic
Trump,45-65,Female,2-year,White,Protestant
Trump,65+,Male,4-year,White,Protestant
Trump,65+,Female,4-year,White,Protestant
Trump,65+,Female,High school graduate,White,Protestant
Biden,18-29,Female,High school graduate,White,None
Biden,30-44,Female,Post-grad,Native American,Roman Catholic
Biden,45-65,Male,High school graduate,White,None
Biden,30-44,Male,Post-grad,Black,None
Biden,65+,Male,4-year,White,Other
Biden,65+,Male,4-year,White,Roman Catholic
Biden,45-65,Female,Some college,White,Other
Trump,45-65,Female,Some college,White,None
Biden,45-65,Male,Post-grad,White,Protestant
Biden,45-65,Female,4-year,White,Atheist
Biden,18-29,Female,Post-grad,White,Protestant
Biden,65+,Male,Post-grad,White,Protestant
Biden,30-44,Female,High school graduate,White,None
Biden,45-65,Male,No HS,White,None
Trump,65+,Female,High school graduate,White,Protestant
Trump,65+,Female,High school graduate,Hispanic,Roman Catholic
Trump,45-65,Male,Some college,White,Other
Biden,45-65,Male,2-year,Black,Protestant
