voted_for,age_group,gender,education,race,religion,household_gun_ownership,student_loan_status
Biden,45-64,Male,4-year,White,Agnostic,No,No
Biden,45-64,Male,4-year,White,None,Yes,No
Biden,45-64,Male,4-year,White,None,No,No
Trump,30-44,Female,2-year,White,Protestant,Yes,No
Biden,65+,Male,Post-grad,Black,None,No,Yes
Trump,65+,Female,High school graduate,White,Protestant,Yes,No
Trump,45-64,Female,Some college,White,Protestant,Unsure,No
Trump,65+,Male,High school graduate,White,None,No,No
Trump,65+,Male,High school graduate,White,Atheist,Unsure,No
Biden,45-64,Female,Post-grad,Hispanic,Roman Catholic,No,No
Trump,45-64,Female,2-year,White,Other,Yes,Yes
Trump,65+,Male,Some college,Hispanic,Roman Catholic,Yes,No
Biden,65+,Male,Some college,Hispanic,Other,No,No
Trump,45-64,Male,Post-grad,White,Protestant,No,No
Biden,65+,Male,4-year,White,Other,No,No
Biden,45-64,Female,High school graduate,Black,Other,No,No
Biden,65+,Male,Post-grad,Black,Other,Yes,No
Biden,45-64,Female,4-year,White,Roman Catholic,No,No
Biden,45-64,Female,4-year,White,Atheist,Yes,No
Trump,30-44,Male,4-year,White,Protestant,Yes,No
Biden,30-44,Female,Some college,White,Roman Catholic,Yes,Yes
Trump,30-44,Female,4-year,White,Protestant,Yes,No
Biden,45-64,Female,No HS,Black,Roman Catholic,No,Yes
Trump,18-29,Female,4-year,White,Roman Catholic,No,No
Trump,65+,Male,High school graduate,White,Other,Yes,No
Trump,65+,Female,4-year,White,Roman Catholic,No,No
Biden,18-29,Female,4-year,Hispanic,Protestant,No,Yes
Trump,65+,Female,4-year,White,Protestant,Unsure,No
Biden,45-64,Male,4-year,White,None,No,No
Trump,65+,Female,4-year,White,Protestant,No,No
Biden,30-44,Female,4-year,Asian,Agnostic,No,No
Biden,30-44,Male,Some college,White,None,No,No
Biden,45-64,Female,4-year,White,Agnostic,No,No
Biden,30-44,Male,High school graduate,White,Roman Catholic,No,No
Biden,30-44,Male,4-year,White,Jewish,No,Yes
Biden,30-44,Female,4-year,Black,Other,No,Yes
Biden,45-64,Female,4-year,White,Agnostic,Yes,No
Trump,18-29,Female,4-year,White,Roman Catholic,No,No
Biden,18-29,Male,High school graduate,Native American,Other,Yes,Yes
Trump,30-44,Male,4-year,White,Protestant,Yes,No
Biden,65+,Female,4-year,White,Protestant,No,No
Biden,30-44,Female,2-year,White,Protestant,Yes,Yes
Biden,45-64,Female,4-year,White,Roman Catholic,No,No
Biden,65+,Female,4-year,White,Other,No,No
Biden,45-64,Female,2-year,White,Roman Catholic,No,No
Biden,45-64,Female,High school graduate,Black,Other,Unsure,No
Trump,45-64,Female,Some college,Hispanic,Other,No,No
Biden,30-44,Female,2-year,Black,Protestant,No,Yes
Biden,45-64,Other,2-year,White,Agnostic,No,No
Trump,65+,Female,High school graduate,White,Roman Catholic,No,No
Biden,65+,Female,Post-grad,White,Protestant,No,Yes
Biden,45-64,Female,Post-grad,White,Atheist,No,No
Trump,45-64,Male,Post-grad,White,Protestant,Yes,Yes
Biden,45-64,Male,Post-grad,White,Atheist,No,No
Biden,45-64,Female,Some college,Black,Other,No,No
Biden,30-44,Male,Some college,White,None,No,Yes
Trump,45-64,Male,2-year,White,Protestant,No,No
Biden,45-64,Female,Some college,White,Protestant,No,Yes
Trump,18-29,Female,Some college,White,None,Yes,Yes
